
Date: 24/04/2025 2:39:39 pm
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAEXJ

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1460.0000	-59.2292	-59.8774
1460.0080	-59.3423	-59.9645
1460.0160	-59.4249	-59.9297
1460.0240	-59.5635	-59.9898
1460.0320	-59.1581	-60.0000
1460.0400	-58.6650	-59.9768
1460.0480	-59.2357	-59.8042
1460.0560	-58.8861	-59.6490
1460.0640	-58.8390	-59.6345
1460.0720	-59.6432	-59.6853
1460.0800	-58.7353	-59.4648
1460.0880	-58.1139	-59.3524
1460.0960	-58.9681	-59.1617
1460.1040	-59.1298	-59.1276
1460.1120	-58.4271	-58.7034
1460.1200	-58.5352	-59.2030
1460.1280	-59.0268	-59.5577
1460.1360	-59.2081	-58.9297
1460.1440	-59.3249	-58.5228
1460.1520	-58.8992	-58.6418
1460.1600	-59.1552	-58.5373
1460.1680	-59.3662	-58.7505
1460.1760	-59.2096	-58.8202
1460.1840	-59.0167	-58.1820
1460.1920	-59.5613	-58.7295
1460.2000	-59.3901	-58.7476
1460.2080	-59.6606	-58.8934
1460.2160	-59.4924	-58.7317
1460.2240	-58.7281	-58.2756
1460.2320	-58.4764	-58.7201
1460.2400	-58.2603	-59.0051
1460.2480	-58.6853	-59.6584
1460.2560	-58.3553	-59.1806
1460.2640	-58.5983	-58.8876
1460.2720	-59.1371	-58.9181
1460.2800	-59.2023	-58.9920
1460.2880	-59.5424	-59.3060
1460.2960	-58.7672	-59.3133
1460.3040	-58.9188	-58.6541
1460.3120	-59.4699	-58.5446
1460.3200	-59.2154	-59.1842
1460.3280	-59.0058	-58.9362
1460.3360	-59.4249	-59.4017
1460.3440	-59.8557	-59.4670
1460.3520	-59.5736	-59.1124
1460.3600	-58.9427	-58.8622
1460.3680	-59.1769	-58.6425
1460.3760	-58.6730	-58.8861
1460.3840	-58.5910	-59.3292
1460.3920	-58.6802	-59.0406
1460.4000	-58.5294	-58.6628
1460.4080	-58.9565	-59.6933
1460.4160	-58.4474	-59.3655
1460.4240	-59.1784	-59.8064
1460.4320	-58.8803	-59.5141
1460.4400	-59.1487	-59.2603
1460.4480	-58.4373	-58.7563
1460.4560	-58.0232	-58.9463
1460.4640	-59.0109	-59.4496
1460.4720	-59.2727	-59.6041
1460.4800	-59.1197	-59.2422
1460.4880	-59.0442	-59.1175
1460.4960	-58.9877	-58.8716
1460.5040	-59.2640	-59.0515
1460.5120	-59.0189	-59.5925
1460.5200	-59.6352	-59.5098
1460.5280	-59.6410	-58.8651
1460.5360	-59.5337	-59.0711
1460.5440	-58.8883	-59.2466
1460.5520	-58.2835	-59.6933
1460.5600	-58.9811	-59.7049
1460.5680	-58.6947	-59.1276
1460.5760	-59.0595	-58.7157
1460.5840	-58.5272	-59.1668
1460.5920	-58.7310	-59.1784
1460.6000	-58.4032	-58.7310
1460.6080	-58.8658	-58.4837
1460.6160	-58.6650	-57.9732
1460.6240	-58.4830	-58.1603
1460.6320	-59.0239	-58.4431
1460.6400	-59.1929	-58.8492
1460.6480	-59.0276	-58.5867
1460.6560	-59.4793	-58.0247
1460.6640	-59.2763	-58.2574
1460.6720	-59.0761	-59.1189
1460.6800	-58.9311	-58.5809
1460.6880	-58.3836	-58.4612
1460.6960	-58.6998	-58.1523
1460.7040	-58.7266	-58.7165
1460.7120	-58.5968	-59.0877
1460.7200	-59.0500	-59.0732
1460.7280	-58.7513	-58.6526
1460.7360	-58.7897	-58.9579
1460.7440	-58.9935	-59.1189
1460.7520	-58.9536	-58.8144
1460.7600	-59.3959	-58.4518
1460.7680	-59.4503	-59.0377
1460.7760	-59.1523	-59.2777
1460.7840	-59.2589	-59.4547
1460.7920	-58.9485	-59.5489
1460.8000	-59.2212	-59.3938
1460.8080	-59.2785	-59.5925
1460.8160	-59.1066	-59.3307
1460.8240	-58.7447	-59.5417
1460.8320	-59.1574	-59.4830
1460.8400	-59.1726	-59.5279
1460.8480	-58.9695	-59.8303
1460.8560	-59.2183	-59.7208
1460.8640	-59.5569	-59.5489
1460.8720	-59.4039	-59.8644
1460.8800	-58.8803	-58.9485
1460.8880	-58.8579	-59.0856
1460.8960	-59.0145	-59.9239
1460.9040	-58.9710	-59.7868
1460.9120	-59.0225	-59.5156
1460.9200	-58.4924	-59.9173
1460.9280	-58.7331	-59.7034
1460.9360	-58.2937	-59.7534
1460.9440	-58.9115	-59.3017
1460.9520	-59.1740	-59.3205
1460.9600	-58.9492	-59.5990
1460.9680	-58.9318	-59.5439
1460.9760	-59.0863	-59.2973
1460.9840	-58.4902	-59.6186
1460.9920	-59.1682	-59.7759
1461.0000	-58.7796	-60.0000
1461.0080	-58.9086	-60.0000
1461.0160	-58.8049	-59.3292
1461.0240	-58.4859	-59.2379
1461.0320	-59.1363	-59.0856
1461.0400	-59.2437	-59.4953
1461.0480	-59.6715	-59.4445
1461.0560	-59.3713	-59.4293
1461.0640	-59.5025	-59.4569
1461.0720	-59.5780	-59.8347
1461.0800	-59.2313	-59.3785
1461.0880	-59.2408	-59.4141
1461.0960	-59.2683	-59.5236
1461.1040	-58.5294	-58.9666
1461.1120	-59.0450	-59.3640
1461.1200	-59.3372	-58.8847
1461.1280	-59.0348	-58.8738
1461.1360	-59.0827	-58.7230
1461.1440	-58.7462	-58.0051
1461.1520	-58.8941	-58.3822
1461.1600	-59.0645	-58.7999
1461.1680	-59.1146	-58.7513
1461.1760	-58.7832	-58.5214
1461.1840	-59.2241	-58.4329
1461.1920	-59.0312	-58.5707
1461.2000	-58.9391	-58.8702
1461.2080	-58.5874	-58.6613
1461.2160	-59.0529	-59.2531
1461.2240	-59.1690	-59.5257
1461.2320	-59.6577	-58.5112
1461.2400	-59.2422	-58.6077
1461.2480	-58.3459	-58.0421
1461.2560	-58.6033	-58.3154
1461.2640	-58.9043	-58.4699
1461.2720	-58.6157	-59.1334
1461.2800	-58.7766	-58.6570
1461.2880	-58.6084	-58.4235
1461.2960	-59.1284	-58.4423
1461.3040	-58.7723	-58.7832
1461.3120	-59.4547	-58.7288
1461.3200	-59.6461	-58.4953
1461.3280	-59.4721	-58.5780
1461.3360	-58.8687	-58.4438
1461.3440	-59.6534	-58.7861
1461.3520	-59.7230	-59.0196
1461.3600	-59.7447	-58.9935
1461.3680	-59.7484	-58.8941
1461.3760	-59.7295	-58.7614
1461.3840	-59.6135	-59.3938
1461.3920	-59.1871	-59.3495
1461.4000	-59.1784	-59.3539
1461.4080	-59.2444	-59.5910
1461.4160	-59.5199	-59.1015
1461.4240	-59.7346	-59.3125
1461.4320	-59.7092	-59.1791
1461.4400	-59.6251	-59.4735
1461.4480	-59.3481	-59.8724
1461.4560	-59.2357	-60.0000
1461.4640	-59.0261	-59.9340
1461.4720	-58.9550	-59.4032
1461.4800	-59.0450	-58.9855
1461.4880	-59.0558	-58.8658
1461.4960	-58.1276	-58.1269
1461.5040	-58.7281	-58.6468
1461.5120	-59.2589	-58.9130
1461.5200	-59.0566	-59.2110
1461.5280	-58.2045	-58.6128
1461.5360	-58.8847	-58.3234
1461.5440	-59.8869	-58.3952
1461.5520	-59.6251	-58.1871
1461.5600	-58.6468	-58.5693
1461.5680	-58.8339	-58.5925
1461.5760	-58.1211	-58.4141
1461.5840	-58.3706	-57.9877
